order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
AMZ-ORD-0002001,2026-01-26,2026-01-27,Standard Class,CUST-00106,Priya Sharma,Consumer,India,Ahmedabad,Gujarat,400004,West,PROD-00247,Office,Stationery,Bluetooth Earbuds,729.13,4,0.04,116.66
AMZ-ORD-0002002,2026-01-27,2026-01-28,Second Class,CUST-00111,Rohan Patel,Consumer,India,Jaipur,Rajasthan,400005,North,PROD-00253,Electronics,Accessories,Office Chair,738.26,5,0.08,88.59
AMZ-ORD-0002003,2026-01-28,2026-01-29,First Class,CUST-00116,Neha Verma,Consumer,India,Lucknow,Uttar Pradesh,400006,North,PROD-00259,Home,Kitchen,Smart Plug,747.39,6,0.12,59.79
AMZ-ORD-0002004,2026-01-29,2026-01-30,Same Day,CUST-00121,Kabir Nair,Consumer,India,Mumbai,Maharashtra,400007,West,PROD-00265,Fashion,Apparel,Backpack,756.52,1,0.16,30.26
AMZ-ORD-0002005,2026-01-30,2026-01-31,Standard Class,CUST-00126,Anaya Rao,Consumer,India,Delhi,Delhi,400008,North,PROD-00271,Beauty,Skincare,Echo Dot Speaker,765.65,2,0.2,15.31
AMZ-ORD-0002005,2026-01-30,2026-01-31,Standard Class,CUST-00126,Anaya Rao,Consumer,India,Delhi,Delhi,400008,North,PROD-00271,Beauty,Skincare,Echo Dot Speaker,765.65,2,0.2,15.31
AMZ-ORD-0002006,2026-01-31,2026-02-01,Second Class,CUST-00131,Vihaan Das,Consumer,India,Bengaluru,Karnataka,400009,South,PROD-00277,Office,Stationery,Bluetooth Earbuds,774.78,3,0,154.96
AMZ-ORD-0002007,2026-02-01,2026-02-02,First Class,CUST-00136,Isha Gupta,Consumer,India,Hyderabad,Telangana,400010,South,PROD-00283,Electronics,Accessories,Office Chair,783.91,4,0.04,125.43
AMZ-ORD-0002008,2026-02-02,2026-02-03,Same Day,CUST-00141,Rahul Iyer,Consumer,India,Pune,Maharashtra,400011,West,PROD-00289,Home,Kitchen,Smart Plug,793.04,5,0.08,95.16
AMZ-ORD-0002009,2026-02-03,2026-02-04,Standard Class,CUST-00146,Meera Joshi,Consumer,India,Chennai,Tamil Nadu,400012,South,PROD-00295,Fashion,Apparel,Backpack,792,6,0.12,63.36
AMZ-ORD-0002010,2026-02-04,2026-02-05,Second Class,CUST-00151,Aarav Singh,Consumer,India,Kolkata,West Bengal,400013,East,PROD-00301,Beauty,Skincare,Echo Dot Speaker,801.13,1,0.16,32.05
AMZ-ORD-0002010,2026-02-04,2026-02-05,Second Class,CUST-00151,Aarav Singh,Consumer,India,Kolkata,West Bengal,400013,East,PROD-00301,Beauty,Skincare,Echo Dot Speaker,801.13,1,0.16,32.05
