order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,source_file,processing_timestamp
AMZ-ORD-0005001,2026-02-10,2026-02-11,Same Day,CUST-00109,Priya Sharma,Consumer,India,Hyderabad,Telangana,400007,South,PROD-00070,Fashion,Apparel,Water Bottle,132.13,2,0.04,21.14,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
AMZ-ORD-0005002,2026-01-01,2026-01-02,Standard Class,CUST-00117,Rohan Patel,Consumer,India,Pune,Maharashtra,400008,West,PROD-00079,Beauty,Skincare,Bluetooth Earbuds,144.26,3,0.08,17.31,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
AMZ-ORD-0005003,2026-01-02,2026-01-03,Second Class,CUST-00125,Neha Verma,Consumer,India,Chennai,Tamil Nadu,400009,South,PROD-00088,Office,Stationery,Kindle Reader,156.39,4,0.12,12.51,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
AMZ-ORD-0005004,2026-01-03,2026-01-04,First Class,CUST-00133,Kabir Nair,Consumer,India,Kolkata,West Bengal,400010,East,PROD-00097,Electronics,Accessories,Office Chair,168.52,5,0.16,6.74,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
AMZ-ORD-0005005,2026-01-04,2026-01-05,Same Day,CUST-00141,Anaya Rao,Consumer,India,Ahmedabad,Gujarat,400011,West,PROD-00106,Home,Kitchen,Desk Lamp,180.65,1,0.2,3.61,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
AMZ-ORD-0005006,2026-01-05,2026-01-06,Standard Class,CUST-00149,Vihaan Das,Consumer,India,Jaipur,Rajasthan,400012,North,PROD-00115,Fashion,Apparel,Smart Plug,192.78,2,0.24,3.86,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
AMZ-ORD-0005007,2026-01-06,2026-01-07,Second Class,CUST-00157,Isha Gupta,Consumer,India,Lucknow,Uttar Pradesh,400013,North,PROD-00124,Beauty,Skincare,Monitor Stand,204.91,3,0.28,4.1,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
AMZ-ORD-0005008,2026-01-07,2026-01-08,First Class,CUST-00165,Rahul Iyer,Consumer,India,Mumbai,Maharashtra,400014,West,PROD-00133,Office,Stationery,Backpack,217.04,4,0.32,4.34,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
AMZ-ORD-0005009,2026-01-08,2026-01-09,Same Day,CUST-00173,Meera Joshi,Consumer,India,Delhi,Delhi,400015,North,PROD-00142,Electronics,Accessories,Wireless Mouse,219.0,5,0.0,43.8,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
AMZ-ORD-0005010,2026-01-09,2026-01-10,Standard Class,CUST-00181,Aarav Singh,Consumer,India,Bengaluru,Karnataka,400016,South,PROD-00151,Home,Kitchen,Echo Dot Speaker,231.13,1,0.04,36.98,amazon_orders_batch_6.csv,2026-03-14T08:15:16.535Z
