order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,source_file
,,,,,,,,,,,,,,,,,,,,ad_hoc_insert_test.csv
,,,,,,,,,,,,,,,,,,,,ad_hoc_insert_test.csv
,,,,,,,,,,,,,,,,,,,,ad_hoc_insert_test.csv
AMZ-ORD-0003023,2026-01-21,2026-01-23,Same Day,CUST-00139,Neha Verma,Consumer,India,Delhi,Delhi,400027,North,PROD-00162,Fashion,Apparel,Desk Lamp,232.65,-3,0.08,27.92,amazon_orders_batch_4.csv
AMZ-ORD-0003029,2026-01-27,2026-01-29,Second Class,CUST-00175,Meera Joshi,Consumer,India,Ahmedabad,Gujarat,400033,West,PROD-00204,Beauty,Skincare,Desk Lamp,,3,0.04,45.32,amazon_orders_batch_4.csv
AMZ-ORD-0003035,2026-02-02,2026-02-04,Same Day,,Anaya Rao,Consumer,India,Hyderabad,Telangana,400039,South,PROD-00246,Office,Stationery,Desk Lamp,344.04,3,0.0,68.81,amazon_orders_batch_4.csv
,2026-02-06,2026-02-08,Same Day,CUST-00235,Meera Joshi,Consumer,India,Ahmedabad,Gujarat,400043,West,PROD-00274,Beauty,Skincare,Desk Lamp,374.39,1,0.16,14.98,amazon_orders_batch_4.csv
AMZ-ORD-0003041,,2026-02-10,Second Class,CUST-00247,Priya Sharma,Consumer,India,Lucknow,Uttar Pradesh,400045,North,PROD-00288,Electronics,Accessories,Desk Lamp,394.65,3,0.24,7.89,amazon_orders_batch_4.csv
AMZ-ORD-0003046,2026-01-05,2026-01-07,First Class,CUST-00277,Vihaan Das,Consumer,India,Pune,Maharashtra,400050,West,PROD-00323,Electronics,Accessories,Echo Dot Speaker,435.13,-3,0.16,17.41,amazon_orders_batch_4.csv
AMZ-ORD-0003047,2026-01-06,2026-01-08,Same Day,CUST-00283,Isha Gupta,Consumer,India,Chennai,Tamil Nadu,400051,South,PROD-00330,Home,Kitchen,Desk Lamp,445.26,3,1.45,8.91,amazon_orders_batch_4.csv
AMZ-ORD-0003058,2026-01-17,2026-01-19,First Class,CUST-00049,Rahul Iyer,Consumer,India,Kolkata,West Bengal,400062,East,PROD-00407,Fashion,Apparel,Echo Dot Speaker,,2,0.08,65.58,amazon_orders_batch_4.csv
AMZ-ORD-0003069,2026-01-28,2026-01-30,Second Class,CUST-00115,Meera Joshi,Consumer,India,Ahmedabad,Gujarat,400073,West,PROD-00064,Beauty,Skincare,Desk Lamp,647.78,-3,0.24,12.96,amazon_orders_batch_4.csv
AMZ-ORD-0003070,2026-01-29,2026-01-31,First Class,,Aarav Singh,Consumer,India,Jaipur,Rajasthan,400074,North,PROD-00071,Office,Stationery,Echo Dot Speaker,657.91,2,0.0,131.58,amazon_orders_batch_4.csv
,2026-02-06,2026-02-08,First Class,CUST-00169,Rahul Iyer,Consumer,India,Kolkata,West Bengal,400082,East,PROD-00127,Fashion,Apparel,Echo Dot Speaker,728.78,1,0.04,116.6,amazon_orders_batch_4.csv
AMZ-ORD-0004013,2026-01-14,2026-01-17,First Class,CUST-00192,Neha Verma,Consumer,India,Hyderabad,Telangana,400018,South,PROD-00185,Beauty,Skincare,Office Chair,554.52,2,1.45,11.09,amazon_orders_batch_5.csv
AMZ-ORD-0004015,2026-01-16,2026-01-19,Standard Class,CUST-00206,Anaya Rao,Consumer,India,Chennai,Tamil Nadu,400020,South,PROD-00201,Electronics,Accessories,Echo Dot Speaker,576.78,-3,0.28,11.54,amazon_orders_batch_5.csv
AMZ-ORD-0004016,2026-01-17,2026-01-20,Second Class,CUST-00213,Vihaan Das,Consumer,India,Kolkata,West Bengal,400021,East,PROD-00209,Home,Kitchen,Backpack,,1,0.0,117.58,amazon_orders_batch_5.csv
AMZ-ORD-0004022,,2026-01-26,Same Day,CUST-00255,Rohan Patel,Consumer,India,Bengaluru,Karnataka,400027,South,PROD-00257,Fashion,Apparel,Smart Plug,644.52,3,0.24,12.89,amazon_orders_batch_5.csv
AMZ-ORD-0004026,2026-01-27,2026-01-30,Same Day,CUST-00283,Vihaan Das,Consumer,India,Kolkata,West Bengal,400031,East,PROD-00289,Home,Kitchen,Backpack,689.04,3,1.45,82.68,amazon_orders_batch_5.csv
AMZ-ORD-0004030,2026-01-31,2026-02-03,Same Day,CUST-00011,Aarav Singh,Consumer,India,Mumbai,Maharashtra,400035,West,PROD-00321,Electronics,Accessories,Echo Dot Speaker,723.39,-3,0.24,14.47,amazon_orders_batch_5.csv
AMZ-ORD-0004032,2026-02-02,2026-02-05,Second Class,CUST-00025,Rohan Patel,Consumer,India,Bengaluru,Karnataka,400037,South,PROD-00337,Fashion,Apparel,Smart Plug,,1,0.0,149.13,amazon_orders_batch_5.csv
AMZ-ORD-0004034,2026-02-04,2026-02-07,Same Day,,Kabir Nair,Consumer,India,Pune,Maharashtra,400039,West,PROD-00353,Office,Stationery,Bluetooth Earbuds,767.91,3,0.08,92.15,amazon_orders_batch_5.csv
,2026-02-08,2026-02-11,Same Day,CUST-00067,Rahul Iyer,Consumer,India,Jaipur,Rajasthan,400043,North,PROD-00385,Beauty,Skincare,Office Chair,802.26,3,0.24,16.05,amazon_orders_batch_5.csv
