order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,source_file
,,,,,,,,,,,,,,,,,,,,ad_hoc_insert_test.csv
AMZ-ORD-0000034,2026-02-04,2026-02-06,Same Day,CUST-00103,Kabir Nair,Consumer,India,Kolkata,West Bengal,400035,East,PROD-00137,Electronics,Accessories,Office Chair,231.91,-3,0.08,27.83,amazon_orders_batch_1.csv
AMZ-ORD-0000051,2026-01-16,2026-01-18,Standard Class,CUST-00154,Priya Sharma,Consumer,India,Hyderabad,Telangana,400052,South,PROD-00205,Fashion,Apparel,Smart Plug,332.78,-3,0.12,26.62,amazon_orders_batch_1.csv
AMZ-ORD-0000087,2026-01-16,2026-01-18,Standard Class,CUST-00262,Isha Gupta,Consumer,India,Lucknow,Uttar Pradesh,400088,North,PROD-00349,Beauty,Skincare,Bluetooth Earbuds,548.78,4,1.45,43.9,amazon_orders_batch_1.csv
AMZ-ORD-0000019,2026-01-20,2026-01-22,Standard Class,CUST-00058,Meera Joshi,Consumer,India,Delhi,Delhi,400020,North,PROD-00077,Electronics,Accessories,Office Chair,,4,0.12,10.81,amazon_orders_batch_1.csv
AMZ-ORD-0000038,2026-01-03,2026-01-05,Same Day,,Rahul Iyer,Consumer,India,Mumbai,Maharashtra,400039,West,PROD-00153,Office,Stationery,Backpack,,3,0.08,30.03,amazon_orders_batch_1.csv
,2026-01-14,2026-01-17,Second Class,CUST-00293,Neha Verma,Consumer,India,Ahmedabad,Gujarat,400125,West,PROD-00156,Electronics,Accessories,Monitor Stand,687.78,4,0.12,55.02,amazon_orders_batch_2.csv
AMZ-ORD-0001093,2026-01-21,2026-01-24,Same Day,CUST-00173,Neha Verma,Consumer,India,Ahmedabad,Gujarat,400095,West,PROD-00006,Electronics,Accessories,Monitor Stand,474.39,-3,0.12,37.95,amazon_orders_batch_2.csv
AMZ-ORD-0001115,2026-01-06,2026-01-09,Second Class,CUST-00261,Anaya Rao,Consumer,India,Lucknow,Uttar Pradesh,400117,North,PROD-00116,Fashion,Apparel,Desk Lamp,,1,0.0,126.58,amazon_orders_batch_2.csv
AMZ-ORD-0001037,,2026-01-05,Same Day,,Isha Gupta,Consumer,India,Delhi,Delhi,400039,North,PROD-00146,Office,Stationery,Kindle Reader,80.13,3,0.08,9.62,amazon_orders_batch_2.csv
AMZ-ORD-0001038,2026-01-03,2026-01-06,Standard Class,CUST-00253,Rahul Iyer,Consumer,India,Bengaluru,Karnataka,400040,South,PROD-00151,Electronics,Accessories,Bluetooth Earbuds,88.26,4,1.45,7.06,amazon_orders_batch_2.csv
AMZ-ORD-0002210,2026-01-07,2026-01-08,Second Class,CUST-00251,Aarav Singh,Consumer,India,Kolkata,West Bengal,400213,East,PROD-00241,Beauty,Skincare,Echo Dot Speaker,,3,0.0,120.68,amazon_orders_batch_3.csv
,2026-02-02,2026-02-03,Same Day,CUST-00001,Aarav Singh,Consumer,India,Kolkata,West Bengal,400163,East,PROD-00361,Beauty,Skincare,Echo Dot Speaker,207.91,1,0.16,8.32,amazon_orders_batch_3.csv
AMZ-ORD-0002072,,2026-01-22,Same Day,,Rohan Patel,Consumer,India,Jaipur,Rajasthan,400075,North,PROD-00253,Electronics,Accessories,Office Chair,396.0,-3,0.0,79.2,amazon_orders_batch_3.csv
AMZ-ORD-0002110,2026-01-21,2026-01-22,Second Class,CUST-00051,Aarav Singh,Consumer,India,Kolkata,West Bengal,400113,East,PROD-00061,Beauty,Skincare,Echo Dot Speaker,702.26,5,1.45,84.27,amazon_orders_batch_3.csv
